NAME,marriedpoppercent,MoE
Census Tract 1.01,67.40%,± 8.9%
Census Tract 1.02,69.50%,± 7.8%
Census Tract 1.03,68.70%,± 6.1%
Census Tract 1.04,76.10%,± 15.7%
Census Tract 1.05,60.10%,± 7.7%
Census Tract 10,14.80%,± 6.1%
Census Tract 101.01,60%,± 6.9%
Census Tract 101.02,66.40%,± 5.8%
Census Tract 102,61.70%,± 5.2%
Census Tract 103,57%,± 4.8%
Census Tract 104,48.30%,± 9%
Census Tract 105,61.90%,± 5.6%
Census Tract 106,62%,± 5.4%
Census Tract 11.01,20.20%,± 5.8%
Census Tract 11.02,0.40%,± 0.6%
Census Tract 12,6%,± 2.7%
Census Tract 13.02,40.50%,± 6.4%
Census Tract 13.03,35.60%,± 6.9%
Census Tract 13.04,18.20%,± 6.1%
Census Tract 2,54%,± 5%
Census Tract 3,49.50%,± 7.8%
Census Tract 4,48.20%,± 8.2%
Census Tract 5,8.30%,± 2.8%
Census Tract 6,45.60%,± 5.2%
Census Tract 7,17.50%,± 5.3%
Census Tract 8,0.10%,± 0.2%
Census Tract 9,38.50%,± 5.7%
